index,category,description,influenceDistance,pct,x,y,z
1,0,Bonnie,133.152,0.9983948635634029,0.21556854,1.5515633,-9.517332
2,0,Bonnie,181.442,1.0,2.9133215,0.2805624,-8.8597975
3,0,Bonnie,47.0505,0.9967897271268058,2.9751787,-1.992094,-8.431821
4,0,Bonnie,13.4032,0.9951845906902087,-1.4682174,0.15697002,-8.371974
5,0,Bonnie,8.30969,0.9935794542536116,-1.3836308,-0.18154764,-8.141589
6,0,Bonnie,10.8402,0.9919743178170144,-0.072408676,1.143467,-9.703867
7,0,Bonnie,12.5625,0.9903691813804173,-0.1867981,-0.22685242,-10.0
8,0,Bonnie,15.2097,0.9887640449438202,-0.53160286,-0.34265327,-8.213148
9,0,Bonnie,10.3379,0.9871589085072231,0.8775635,2.1855106,-8.165526
10,0,Bonnie,8.15479,0.985553772070626,1.4607563,2.0738955,-8.603094
11,0,Bonnie,8.92634,0.9839486356340289,1.0422573,1.8780527,-9.393754
12,0,Bonnie,13.1973,0.9823434991974318,0.8781738,1.3682375,-9.566206
13,0,Bonnie,20.6405,0.9807383627608347,-1.3184524,-0.5577173,-6.963681
14,0,Bonnie,14.5392,0.9791332263242376,-0.5213766,-0.20434618,-7.9480314
15,0,Bonnie,13.8648,0.9775280898876404,0.8858776,1.0900197,-9.726801
16,0,Bonnie,20.4916,0.9759229534510433,-0.52723026,0.09885216,-9.501354
17,0,Bonnie,26.797,0.9743178170144462,-0.37370777,-0.18555307,-9.932832
18,0,Bonnie,43.7849,0.9727126805778491,3.085329,-1.3846016,-9.482524
19,0,Bonnie,39.9572,0.971107544141252,1.9861851,-1.6205044,-8.19016
20,0,Bonnie,26.1769,0.9695024077046549,-0.42507553,1.8861847,-8.349139
21,0,Bonnie,22.7727,0.9678972712680578,-1.8457971,2.6244965,-7.9906588
22,0,Bonnie,14.3334,0.9662921348314607,-1.827033,2.4612446,-7.8898134
23,0,Bonnie,19.3269,0.9646869983948636,-1.708704,-0.25775576,-9.367415
24,0,Bonnie,19.8822,0.9630818619582665,-1.622416,-1.4681602,-8.523326
25,0,Bonnie,23.0062,0.9614767255216693,-0.6874676,1.3383102,-8.976459
26,0,Bonnie,21.7389,0.9598715890850722,2.0830126,1.7405891,-8.944532
27,0,Bonnie,26.3533,0.9582664526484751,1.3568344,1.7174616,-9.248865
28,0,Bonnie,25.8412,0.956661316211878,-0.20498943,1.2483139,-8.582104
29,0,Bonnie,25.5013,0.9550561797752809,-2.0931711,1.0288515,-7.730789
