index,category,description,influenceDistance,pct,x,y
78,0,Bonnie,23.7033,0.8764044943820225,1.6613204,1.610251
79,0,Bonnie,33.2408,0.8747993579454254,1.8807203,1.6032615
80,0,Bonnie,38.4723,0.8731942215088283,2.8568296,1.9104137
81,0,Bonnie,39.3615,0.8715890850722311,2.9782357,2.2789521
82,0,Bonnie,32.2364,0.869983948635634,2.8337998,2.9129162
83,0,Bonnie,30.5345,0.8683788121990369,3.4616737,2.8560019
84,0,Bonnie,27.0194,0.8667736757624398,2.9422293,2.9276376
85,0,Bonnie,25.5759,0.8651685393258427,2.5932732,2.8916588
86,0,Bonnie,31.1151,0.8635634028892456,3.3731284,2.929513
87,0,Bonnie,38.1478,0.8619582664526485,3.4625072,2.9116087
88,0,Bonnie,83.8137,0.8603531300160514,12.356398,-9.972524
89,0,Bonnie,43.1435,0.8587479935794543,11.973873,-9.785383
90,0,Bonnie,34.8553,0.8571428571428571,12.639573,-10.161205
91,0,Bonnie,31.6417,0.85553772070626,13.0508995,-10.239582
92,0,Bonnie,46.3166,0.8539325842696629,13.101015,-10.2264
93,0,Bonnie,52.107,0.8523274478330658,13.3680725,-10.365753
94,0,Bonnie,48.5221,0.8507223113964687,13.022962,-10.1911335
95,0,Bonnie,32.193,0.8491171749598716,12.398824,-9.939632
96,0,Bonnie,28.4625,0.8475120385232745,13.2193775,-10.298516
97,0,Bonnie,28.2689,0.8459069020866774,13.111744,-10.222296
98,0,Bonnie,27.8951,0.8443017656500803,13.073602,-10.201987
99,0,Bonnie,27.5407,0.8426966292134831,12.898615,-10.133951
100,0,Bonnie,33.4396,0.841091492776886,13.2460575,-10.305149
101,0,Bonnie,34.5188,0.8394863563402889,13.32365,-10.3298645
102,0,Bonnie,50.0136,0.8378812199036918,13.101462,-10.213972
103,0,Bonnie,41.329,0.8362760834670947,7.847599,1.1094639
104,0,Bonnie,24.7689,0.8346709470304976,6.9209547,1.2162116
105,0,Bonnie,20.9273,0.8330658105939005,4.764334,1.1470442
106,0,Bonnie,26.7663,0.8314606741573034,3.2100816,1.0357361
107,0,Bonnie,29.8888,0.8298555377207063,0.91972786,1.4210701
108,0,Bonnie,27.7085,0.8282504012841091,0.89148116,1.1924229
109,0,Bonnie,38.1024,0.826645264847512,-0.88363874,0.50498056
110,0,Bonnie,44.8038,0.8250401284109149,-1.7777241,0.77929187
111,0,Bonnie,45.5117,0.8234349919743178,-10.528572,-3.0799928
112,0,Bonnie,50.6798,0.8218298555377207,-17.178534,-0.12601447
113,0,Bonnie,44.0504,0.8202247191011236,-18.32457,-0.5196104
114,0,Bonnie,34.703,0.8186195826645265,-17.779057,-0.13042116
115,0,Bonnie,32.569,0.8170144462279294,-17.4212,0.16947842
116,0,Bonnie,37.1224,0.8154093097913323,-17.517406,-0.12410116
117,0,Bonnie,44.9964,0.8138041733547352,-18.76258,-0.711334
118,0,Bonnie,43.0006,0.812199036918138,-19.830564,-0.87976885
119,0,Bonnie,42.4952,0.8105939004815409,-21.248411,-1.8131597
120,0,Bonnie,29.2892,0.8089887640449438,-23.472097,-1.6693418
121,0,Bonnie,35.3108,0.8073836276083467,-23.316172,-2.8304558
122,0,Bonnie,63.6701,0.8057784911717496,-21.639385,-6.4443083
123,0,Bonnie,100.415,0.8041733547351525,-22.655964,-6.111241
124,0,Bonnie,160.18,0.8025682182985554,-19.715117,-4.43271
125,0,Bonnie,145.63,0.8009630818619583,-9.082359,-12.313411
126,0,Bonnie,116.706,0.7993579454253612,14.53525,8.8745575
127,0,Bonnie,71.8482,0.797752808988764,15.242394,8.602223
128,0,Bonnie,52.192,0.7961476725521669,17.181509,8.083216
129,0,Bonnie,41.8235,0.7945425361155698,17.367092,8.087379
130,0,Bonnie,31.7101,0.7929373996789727,18.10294,8.752993
131,0,Bonnie,33.3264,0.7913322632423756,16.087696,8.724349
132,0,Bonnie,33.7712,0.7897271268057785,15.921555,8.62462
133,0,Bonnie,34.9666,0.7881219903691814,17.031492,8.395842
134,0,Bonnie,31.7958,0.7865168539325843,17.783749,8.664921
135,0,Bonnie,32.2544,0.7849117174959872,16.58569,8.834351
136,0,Bonnie,35.3821,0.78330658105939,15.551924,8.50728
137,0,Bonnie,31.9658,0.7817014446227929,16.26728,8.08083
138,0,Bonnie,37.2137,0.7800963081861958,17.28855,7.26705
139,0,Bonnie,30.3141,0.7784911717495987,17.14144,6.70258
140,0,Bonnie,30.4173,0.7768860353130016,16.067802,6.9752483
141,0,Bonnie,32.1321,0.7752808988764045,15.941689,6.947169
142,0,Bonnie,30.8584,0.7736757624398074,17.889997,7.069539
143,0,Bonnie,23.912,0.7720706260032103,15.850997,6.5738025
144,0,Bonnie,23.6548,0.7704654895666132,15.621755,5.9816837
145,0,Bonnie,29.471,0.7688603531300161,17.250742,5.777903
146,0,Bonnie,34.0993,0.7672552166934189,17.827354,4.5409327
147,0,Bonnie,32.6868,0.7656500802568218,17.670784,3.1486917
148,0,Bonnie,34.5836,0.7640449438202247,8.964678,1.3877249
149,0,Bonnie,39.0094,0.7624398073836276,8.078945,1.2523456
150,0,Bonnie,40.8046,0.7608346709470305,6.542325,0.9309025
151,0,Bonnie,45.4052,0.7592295345104334,4.5847707,0.4767251
152,0,Bonnie,39.1924,0.7576243980738363,-12.009865,-3.4160264
